Date,USA30Open,USA30High,USA30Low,USA30Close,USA30Adj Close,USA30Volume,DAX30Open,DAX30High,DAX30Low,DAX30Close,DAX30Adj Close,DAX30Volume,CHINA225Open,CHINA225High,CHINA225Low,CHINA225Close,CHINA225Adj Close,CHINA225Volume,CANADA40Open,CANADA40High,CANADA40Low,CANADA40Close,CANADA40Adj Close,CANADA40Volume,BEL20Open,BEL20High,BEL20Low,BEL20Close,BEL20Adj Close,BEL20Volume,EURO50Open,EURO50High,EURO50Low,EURO50Close,EURO50Adj Close,EURO50Volume
1991-06-19,2965.340088,2978.310059,2933.590088,2955.500000,2955.500000,19600000,1687.699951,1687.699951,1687.699951,1687.699951,1687.699951,0,24657.460938,24657.460938,23894.960938,23996.750000,23996.750000,0,1816.800049,1818.599976,1794.300049,1798.199951,1798.199951,0,1171.800049,1171.800049,1171.800049,1171.800049,1171.800049,0,1029.359985,1029.359985,1029.359985,1029.359985,1029.359985,0
1991-06-20,2943.649902,2969.810059,2927.330078,2953.939941,2953.939941,20820000,1689.719971,1689.719971,1689.719971,1689.719971,1689.719971,0,23990.240234,24218.269531,23885.289063,24082.259766,24082.259766,0,1799.699951,1801.900024,1784.400024,1793.699951,1793.699951,0,1169.099976,1169.099976,1169.099976,1169.099976,1169.099976,0,1024.790039,1024.790039,1024.790039,1024.790039,1024.790039,0
1991-06-21,2953.709961,2977.639893,2937.840088,2965.560059,2965.560059,33900000,1706.760010,1706.760010,1706.760010,1706.760010,1706.760010,0,24095.179688,24427.750000,24048.429688,24275.080078,24275.080078,0,1802.300049,1815.599976,1801.800049,1806.599976,1806.599976,0,1166.300049,1166.300049,1166.300049,1166.300049,1166.300049,0,1033.430054,1033.430054,1033.430054,1033.430054,1033.430054,0
1991-06-24,2948.120117,2957.290039,2904.290039,2913.010010,2913.010010,16820000,1690.680054,1690.680054,1690.680054,1690.680054,1690.680054,0,24263.039063,24263.039063,23763.390625,23765.460938,23765.460938,0,1794.699951,1795.800049,1773.400024,1775.599976,1775.599976,0,1159.199951,1159.199951,1159.199951,1159.199951,1159.199951,0,1020.520020,1020.520020,1020.520020,1020.520020,1020.520020,0
1991-06-25,2925.540039,2938.510010,2887.969971,2910.110107,2910.110107,16540000,1691.469971,1691.469971,1691.469971,1691.469971,1691.469971,0,23695.220703,23907.419922,23435.550781,23907.419922,23907.419922,0,1768.699951,1788.400024,1767.900024,1775.500000,1775.500000,0,1155.900024,1155.900024,1155.900024,1155.900024,1155.900024,0,1021.469971,1021.469971,1021.469971,1021.469971,1021.469971,0
1991-06-26,2908.540039,2934.030029,2879.250000,2913.010010,2913.010010,20630000,1677.579956,1677.579956,1677.579956,1677.579956,1677.579956,0,23932.390625,24122.580078,23743.580078,23766.380859,23766.380859,0,1779.400024,1783.400024,1756.300049,1760.500000,1760.500000,0,1160.300049,1160.300049,1160.300049,1160.300049,1160.300049,0,1014.969971,1014.969971,1014.969971,1014.969971,1014.969971,0
1991-06-27,2930.010010,2946.560059,2909.209961,2934.929932,2934.929932,22070000,1668.609985,1668.609985,1668.609985,1668.609985,1668.609985,0,23700.060547,23834.779297,23391.140625,23543.029297,23543.029297,0,1765.000000,1775.599976,1757.300049,1768.000000,1768.000000,0,1159.900024,1159.900024,1159.900024,1159.900024,1159.900024,0,1014.900024,1014.900024,1014.900024,1014.900024,1014.900024,0
1991-06-28,2920.389893,2934.030029,2879.250000,2906.750000,2906.750000,19070000,1623.729980,1623.729980,1623.729980,1623.729980,1623.729980,0,23575.210938,23716.250000,23214.570313,23290.960938,23290.960938,0,1764.599976,1767.800049,1734.500000,1747.599976,1747.599976,0,1162.500000,1162.500000,1162.500000,1162.500000,1162.500000,0,1003.150024,1003.150024,1003.150024,1003.150024,1003.150024,0
1991-07-01,2925.540039,2971.149902,2911.669922,2958.409912,2958.409912,20020000,1628.750000,1628.750000,1628.750000,1628.750000,1628.750000,0,23376.529297,24180.419922,23376.529297,24108.759766,24108.759766,0,1767.699951,1772.900024,1761.199951,1772.800049,1772.800049,0,1160.300049,1160.300049,1160.300049,1160.300049,1160.300049,0,1004.299988,1004.299988,1004.299988,1004.299988,1004.299988,0
1991-07-02,2954.610107,2987.030029,2939.620117,2972.719971,2972.719971,17000000,1613.630005,1613.630005,1613.630005,1613.630005,1613.630005,0,24136.500000,24322.439453,23995.759766,23995.759766,23995.759766,0,1760.400024,1760.400024,1744.000000,1750.500000,1750.500000,0,1158.400024,1158.400024,1158.400024,1158.400024,1158.400024,0,1001.039978,1001.039978,1001.039978,1001.039978,1001.039978,0
1991-07-03,2947.000000,2957.070068,2915.030029,2934.699951,2934.699951,15530000,1606.510010,1606.510010,1606.510010,1606.510010,1606.510010,0,23924.300781,23924.300781,23343.560547,23373.470703,23373.470703,0,1732.900024,1739.699951,1713.900024,1718.000000,1718.000000,0,1152.599976,1152.599976,1152.599976,1152.599976,1152.599976,0,993.270020,993.270020,993.270020,993.270020,993.270020,0
1991-07-05,2923.300049,2953.260010,2917.709961,2932.469971,2932.469971,8830000,1618.160034,1618.160034,1618.160034,1618.160034,1618.160034,0,23191.080078,23364.000000,22898.339844,22898.339844,22898.339844,0,1705.199951,1723.099976,1697.099976,1723.099976,1723.099976,0,1150.199951,1150.199951,1150.199951,1150.199951,1150.199951,0,999.650024,999.650024,999.650024,999.650024,999.650024,0
1991-07-08,2909.209961,2966.229980,2897.360107,2961.989990,2961.989990,16240000,1610.609985,1610.609985,1610.609985,1610.609985,1610.609985,0,22884.820313,22970.490234,22175.289063,22176.169922,22176.169922,0,1709.000000,1715.500000,1697.599976,1714.300049,1714.300049,0,1142.000000,1142.000000,1142.000000,1142.000000,1142.000000,0,987.059998,987.059998,987.059998,987.059998,987.059998,0
1991-07-09,2964.449951,2980.100098,2934.030029,2947.229980,2947.229980,14890000,1630.750000,1630.750000,1630.750000,1630.750000,1630.750000,0,22213.580078,22668.480469,21731.150391,22608.960938,22608.960938,0,1732.300049,1735.699951,1722.900024,1734.500000,1734.500000,0,1146.599976,1146.599976,1146.599976,1146.599976,1146.599976,0,996.239990,996.239990,996.239990,996.239990,996.239990,0
